id,bien_tipo_produccion_id,bien_insumo_id,unidad_medida_id,precio_tipo_id,precio,cantidad,estado,fecha_creacion,usuario_creacion
1,1,1,27,1,5.000000,0.30,1,"2017-02-08 09:31:07",1
2,1,19,-1,1,0.500000,2.00,1,"2017-02-08 09:31:07",1
3,1,26,8,1,1.000000,1.00,1,"2017-02-08 09:31:08",1
4,2,10,43,1,3.000000,10.00,1,"2017-04-19 18:01:23",1
5,2,12,44,1,4.000000,15.00,1,"2017-04-19 18:01:24",1
6,2,45,5,1,2.000000,10.00,1,"2017-04-20 08:54:30",1
7,2,42,20,1,5.000000,1.00,1,"2017-04-20 08:54:30",1
8,3,1,26,1,0.030000,80.00,1,"2017-06-01 10:42:22",1
9,3,14,26,1,0.040000,50.00,1,"2017-06-01 10:42:22",1
10,3,177,51,1,0.010000,5.00,1,"2017-06-01 10:42:22",1
11,3,49,-1,1,0.500000,1.00,1,"2017-06-01 10:42:22",1
