id,clase,url,estado,fecha_creacion
1,UsuarioControlador,almacen/,1,"2015-08-07 10:45:13"
2,PerfilControlador,almacen/,1,"2015-08-07 10:47:53"
3,OrganizadorControlador,almacen/,1,"2015-08-07 10:47:53"
4,BienControlador,almacen/,1,"2015-08-07 10:47:53"
5,ColaboradorControlador,almacen/,1,"2015-08-07 10:47:53"
6,ServicioControlador,almacen/,1,"2015-08-07 10:47:53"
7,UbicacionControlador,almacen/,1,"2015-08-07 10:47:53"
8,UnidadControlador,almacen/,1,"2015-08-07 10:47:53"
9,EquivalenciaControlador,almacen/,1,"2015-08-07 10:47:53"
10,MovimientoTipoControlador,almacen/,1,"2015-08-07 10:47:53"
11,PersonaControlador,almacen/,1,"2015-08-13 17:41:18"
12,LineaCreditoControlador,almacen/,1,"2015-08-13 17:41:18"
14,DocumentoTipoDatoListaControlador,almacen/,1,"2015-08-13 17:41:18"
15,MovimientoControlador,almacen/,1,"2015-08-21 11:29:57"
16,ReporteControlador,almacen/,1,"2015-08-26 10:35:13"
17,PagoControlador,almacen/,1,"2015-08-26 10:35:13"
18,AlmacenIndexControlador,almacen/,1,"2015-09-12 11:31:11"
19,PruebaCopiaControlador,almacen/,1,"2015-09-18 15:27:15"
20,AuditoriaControlador,almacen/,1,"2015-09-18 15:27:15"
21,TipoCambioControlador,almacen/,1,"2015-11-20 15:51:58"
22,CajaChicaControlador,almacen/,1,"2015-11-28 14:33:35"
23,OperacionControlador,almacen/,1,"2015-12-10 11:56:42"
24,PlanContableControlador,contabilidad/,1,"2016-06-10 12:22:12"
25,InvPermValorizadoControlador,contabilidad/,1,"2016-06-16 15:22:40"
26,RegistroComprasControlador,contabilidad/,1,"2016-06-16 15:25:05"
27,CentroCostoControlador,contabilidad/,1,"2016-06-23 15:47:40"
28,SubdiariosControlador,contabilidad/,1,"2016-06-24 11:22:36"
29,OperacionesControlador,contabilidad/,1,"2016-06-25 11:21:59"
30,DocumentoTipoControlador,contabilidad/,1,"2016-06-27 18:42:17"
31,PeriodoControlador,almacen/,1,"2016-07-06 08:51:25"
32,ProduccionControlador,almacen/,1,"2016-07-21 13:01:44"
33,PromocionControlador,almacen/,1,"2016-10-06 08:46:08"
34,ACCajaControlador,almacen/,1,"2017-01-18 10:02:09"
35,MovimientoPedidoControlador,almacen/,1,"2017-02-16 16:47:45"
36,MovimientoDescargoPedidoControlador,almacen/,1,"2017-05-16 12:42:16"
37,PuntosPremioControlador,almacen/,1,"2017-11-21 19:10:12"
