id,documento_tipo_id,actividad_tipo_id,estado,usuario_creacion,fecha_creacion
3,108,2,1,1,"2015-12-19 09:45:19"
4,108,3,1,1,"2015-12-19 09:45:19"
5,109,1,1,1,"2015-12-19 09:45:19"
15,45,2,1,1,"2015-12-19 11:10:40"
16,45,3,1,1,"2015-12-19 11:10:40"
19,18,1,1,1,"2015-12-19 11:14:33"
21,96,1,1,1,"2015-12-19 11:14:33"
22,97,1,1,1,"2015-12-19 11:14:33"
25,62,2,1,1,"2015-12-21 09:22:03"
26,119,1,1,1,"2015-12-21 15:31:28"
43,134,1,1,1,"2016-01-06 10:23:47"
46,135,1,1,1,"2016-01-06 10:24:38"
52,145,2,1,1,"2016-01-06 10:28:25"
56,145,3,1,1,"2016-01-06 10:28:25"
60,143,2,1,1,"2016-01-06 10:29:44"
64,143,3,1,1,"2016-01-06 10:29:44"
68,144,2,1,1,"2016-01-06 10:31:15"
72,144,3,1,1,"2016-01-06 10:31:15"
76,195,1,1,1,"2016-02-16 16:14:09"
79,196,2,1,1,"2016-02-16 16:16:06"
82,196,3,1,1,"2016-02-16 16:16:06"
83,241,1,1,1,"2016-11-07 11:27:06"
84,243,2,1,1,"2016-11-07 11:27:07"
85,243,3,1,1,"2016-11-07 11:27:07"
87,245,1,1,1,"2016-11-07 11:27:07"
88,246,1,1,1,"2016-11-07 11:27:07"
89,248,2,1,1,"2016-11-07 11:27:07"
90,248,3,1,1,"2016-11-07 11:27:07"
92,249,1,1,1,"2016-11-07 11:27:07"
93,250,1,1,1,"2016-11-07 11:27:07"
94,252,1,1,1,"2016-11-07 11:27:07"
95,253,2,1,1,"2016-11-07 11:27:07"
96,253,3,1,1,"2016-11-07 11:27:07"
98,254,2,1,1,"2016-11-07 11:27:08"
99,254,3,1,1,"2016-11-07 11:27:08"
101,255,2,1,1,"2016-11-07 11:27:08"
102,255,3,1,1,"2016-11-07 11:27:08"
104,259,1,1,1,"2016-11-07 11:27:08"
105,260,2,1,1,"2016-11-07 11:27:08"
106,260,3,1,1,"2016-11-07 11:27:08"
108,269,1,1,1,"2016-11-07 11:27:21"
109,271,2,1,1,"2016-11-07 11:27:21"
110,271,3,1,1,"2016-11-07 11:27:21"
112,273,1,1,1,"2016-11-07 11:27:21"
113,274,1,1,1,"2016-11-07 11:27:22"
114,276,2,1,1,"2016-11-07 11:27:22"
115,276,3,1,1,"2016-11-07 11:27:22"
117,277,1,1,1,"2016-11-07 11:27:22"
118,278,1,1,1,"2016-11-07 11:27:22"
119,280,1,1,1,"2016-11-07 11:27:22"
120,281,2,1,1,"2016-11-07 11:27:22"
121,281,3,1,1,"2016-11-07 11:27:22"
123,282,2,1,1,"2016-11-07 11:27:22"
124,282,3,1,1,"2016-11-07 11:27:22"
126,283,2,1,1,"2016-11-07 11:27:22"
127,283,3,1,1,"2016-11-07 11:27:22"
129,287,1,1,1,"2016-11-07 11:27:23"
130,288,2,1,1,"2016-11-07 11:27:23"
131,288,3,1,1,"2016-11-07 11:27:23"
132,333,2,1,1,"2017-11-07 17:38:41"
133,333,3,1,1,"2017-11-07 17:38:41"
135,334,1,1,1,"2017-11-07 17:38:41"
136,335,1,1,1,"2017-11-07 17:56:29"
137,336,1,1,1,"2017-11-07 17:56:29"
138,337,2,1,1,"2017-11-07 18:01:48"
139,337,3,1,1,"2017-11-07 18:01:48"
141,338,2,1,1,"2017-11-07 18:01:49"
142,338,3,1,1,"2017-11-07 18:01:49"
144,339,2,1,1,"2017-11-07 18:01:49"
145,339,3,1,1,"2017-11-07 18:01:49"
147,340,2,1,1,"2017-11-07 18:01:49"
148,340,3,1,1,"2017-11-07 18:01:49"
150,341,2,1,1,"2017-11-07 18:01:49"
151,341,3,1,1,"2017-11-07 18:01:49"
