id,movimiento_tipo_id,documento_tipo_id,documento_estado_id,estado,fecha_creacion,usuario_creacion
1,7,8,1,1,"2015-08-27 19:09:09",1
2,7,9,1,1,"2015-08-27 19:09:09",1
14,12,6,1,1,"2015-09-15 10:35:46",1
15,12,7,1,1,"2015-09-15 10:35:46",1
58,NULL,18,1,1,"2015-10-01 12:05:26",1
60,NULL,45,1,1,"2015-10-01 12:05:26",1
127,NULL,96,1,1,"2015-12-02 16:18:37",1
128,NULL,97,1,1,"2015-12-07 08:53:21",1
133,40,61,1,1,"2015-12-07 16:16:08",1
205,68,104,1,1,"2015-12-10 15:34:00",1
222,86,133,1,1,"2016-01-05 15:22:37",1
226,82,12,1,1,"2016-01-05 16:57:28",1
229,10,23,1,1,"2016-01-05 17:18:37",1
234,30,181,1,1,"2016-01-12 17:39:53",1
247,99,62,1,1,"2016-01-29 09:58:32",1
248,100,189,1,1,"2016-01-29 10:58:14",1
250,101,190,1,1,"2016-01-29 12:34:26",1
252,100,10,1,1,"2016-01-29 16:43:51",1
253,127,58,1,1,"2016-01-29 16:44:32",1
297,122,227,1,1,"2016-05-13 17:34:21",1
298,123,230,1,1,"2016-05-13 17:34:21",1
299,124,231,1,1,"2016-05-13 17:34:21",1
301,125,232,1,1,"2016-05-13 17:34:21",1
303,126,233,1,1,"2016-06-17 12:23:20",1
306,129,234,1,1,"2016-08-03 15:59:36",1
307,82,192,1,1,"2016-09-19 11:23:28",1
308,135,235,1,1,"2016-11-07 11:27:09",1
309,135,236,1,1,"2016-11-07 11:27:09",1
310,130,237,1,1,"2016-11-07 11:27:09",1
311,130,238,1,1,"2016-11-07 11:27:09",1
312,138,239,1,1,"2016-11-07 11:27:09",1
313,137,240,1,1,"2016-11-07 11:27:09",1
314,134,242,1,1,"2016-11-07 11:27:09",1
315,139,244,1,1,"2016-11-07 11:27:09",1
316,131,247,1,1,"2016-11-07 11:27:09",1
317,132,251,1,1,"2016-11-07 11:27:09",1
318,138,256,1,1,"2016-11-07 11:27:09",1
319,136,257,1,1,"2016-11-07 11:27:09",1
320,137,258,1,1,"2016-11-07 11:27:09",1
325,141,265,1,1,"2016-11-07 11:27:24",1
326,141,266,1,1,"2016-11-07 11:27:24",1
327,149,267,1,1,"2016-11-07 11:27:24",1
328,148,268,1,1,"2016-11-07 11:27:24",1
330,150,272,1,1,"2016-11-07 11:27:24",1
331,142,275,1,1,"2016-11-07 11:27:24",1
332,143,279,1,1,"2016-11-07 11:27:24",1
333,149,284,1,1,"2016-11-07 11:27:24",1
335,148,286,1,1,"2016-11-07 11:27:24",1
338,152,6,1,1,"2016-11-07 11:27:24",1
339,152,7,1,1,"2016-11-07 11:27:24",1
340,153,235,1,1,"2016-11-07 11:27:24",1
341,153,236,1,1,"2016-11-07 11:27:24",1
344,155,291,1,1,"2017-01-18 15:37:29",1
345,156,292,1,1,"2017-01-18 20:22:59",1
346,157,293,1,1,"2017-02-24 10:11:16",1
347,158,294,1,1,"2017-02-24 10:55:15",1
348,159,295,1,1,"2017-03-08 15:51:28",1
349,160,296,1,1,"2017-03-09 09:13:03",1
350,161,297,1,1,"2017-03-09 09:13:03",1
351,162,298,1,1,"2017-03-09 10:00:22",1
352,163,299,1,1,"2017-03-09 10:00:22",1
353,164,300,1,1,"2017-03-09 10:26:41",1
354,165,301,1,1,"2017-03-09 10:26:41",1
355,166,302,1,1,"2017-05-03 16:30:41",1
356,167,303,1,1,"2017-05-04 14:02:03",1
357,168,304,1,1,"2017-05-04 14:02:03",1
358,169,305,1,1,"2017-05-04 14:02:03",1
486,170,306,1,1,"2017-05-16 09:07:03",1
487,171,307,1,1,"2017-05-16 09:07:03",1
488,172,308,1,1,"2017-05-17 09:49:35",1
489,173,309,1,1,"2017-06-16 09:56:40",1
490,174,310,1,1,"2017-06-16 09:56:40",1
491,175,311,1,1,"2017-11-07 10:27:29",1
492,176,312,1,1,"2017-11-07 10:57:28",1
493,177,313,1,1,"2017-11-07 11:06:42",1
494,177,314,1,1,"2017-11-07 11:06:42",1
495,178,315,1,1,"2017-11-07 12:40:50",1
496,179,316,1,1,"2017-11-07 12:52:16",1
497,180,319,1,1,"2017-11-07 12:55:30",1
498,180,320,1,1,"2017-11-07 12:55:30",1
499,181,319,1,1,"2017-11-07 15:21:21",1
500,181,320,1,1,"2017-11-07 15:21:21",1
501,182,321,1,1,"2017-11-07 15:29:07",1
502,183,322,1,1,"2017-11-07 16:03:36",1
503,184,323,1,1,"2017-11-07 16:12:17",1
504,185,324,1,1,"2017-11-07 16:37:07",1
505,186,325,1,1,"2017-11-07 16:39:03",1
506,187,326,1,1,"2017-11-07 16:41:04",1
507,188,327,1,1,"2017-11-07 16:47:55",1
508,188,328,1,1,"2017-11-07 16:47:55",1
509,189,329,1,1,"2017-11-07 16:53:05",1
510,190,330,1,1,"2017-11-07 17:00:02",1
511,191,331,1,1,"2017-11-07 17:02:30",1
512,192,332,1,1,"2017-11-07 17:06:33",1
513,193,342,1,1,"2018-01-09 19:44:34",1
